"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Pallante, Andre",669467,"STL","SL","Slider",0.4,3,"778",28.6,"201","0.206","0.337","0.291",33.8,21.4,16.3,"0.238","0.356","0.305",38.1
"Smith, Cade",671922,"CLE","FF","4-Seam Fastball",1.9,16,"826",69.9,"201","0.17","0.302","0.247",32.2,37.3,32.2,"0.183","0.297","0.247",37.6
"Santillan, Tony",663574,"CIN","FF","4-Seam Fastball",1.1,9,"799",65,"200","0.182","0.318","0.285",21.9,22.5,17.2,"0.273","0.46","0.358",49.6
"Holmes, Grant",656550,"ATL","SL","Slider",1.3,9,"698",35.5,"198","0.188","0.271","0.233",42.2,33.8,25.6,"0.208","0.344","0.267",42.7
"Webb, Logan",657277,"SF","ST","Sweeper",-0.2,-2,"873",26.6,"198","0.286","0.401","0.337",29,25.8,20.9,"0.27","0.457","0.332",32.1
"Liberatore, Matthew",669461,"STL","FF","4-Seam Fastball",-0.7,-5,"707",29.6,"197","0.306","0.536","0.386",12.1,13.7,14.4,"0.31","0.574","0.391",45.3
"Wentz, Joey",666214,"ATL","FF","4-Seam Fastball",-0.6,-4,"800",44.1,"196","0.282","0.436","0.373",17.9,16.3,14.1,"0.294","0.49","0.398",49.3
"Ober, Bailey",641927,"MIN","CH","Changeup",0.5,4,"681",28.9,"195","0.216","0.351","0.263",29.5,26.2,17.3,"0.211","0.337","0.254",24.4
"Sale, Chris",519242,"ATL","FF","4-Seam Fastball",-0.5,-4,"852",41.9,"195","0.32","0.503","0.395",21.3,23.1,20.3,"0.28","0.439","0.354",45.2
"Roupp, Landen",694738,"SF","SI","Sinker",-0.7,-6,"738",39.9,"194","0.355","0.479","0.416",10.5,13.4,20.2,"0.32","0.478","0.382",45.5
"Severino, Luis",622663,"ATH","SI","Sinker",0.1,1,"568",20.8,"194","0.259","0.4","0.345",9.5,11.9,15.6,"0.274","0.399","0.337",40.5
"Vargas, Carlos",672841,"SEA","SI","Sinker",0.8,6,"694",63.4,"193","0.282","0.351","0.342",15.4,11.4,21.4,"0.272","0.372","0.318",37.9
"Alcantara, Sandy",645261,"MIA","SI","Sinker",1.7,11,"634",21.9,"193","0.265","0.388","0.33",11,6.7,11,"0.305","0.462","0.366",46.9
"Gallen, Zac",668678,"AZ","CU","Curveball",-0.6,-4,"736",23.5,"193","0.219","0.438","0.325",38.9,40.4,27.1,"0.199","0.354","0.273",44.6
"Irvin, Jake",663623,"WSH","SI","Sinker",0.5,3,"646",21.9,"193","0.295","0.398","0.358",9.9,10.4,17.1,"0.29","0.473","0.358",41
"Kinley, Tyler",641755,"ATL","SL","Slider",1.5,12,"788",64.3,"192","0.194","0.297","0.257",33.3,21.9,19.4,"0.227","0.375","0.29",25.9
"Suárez, Ranger",624133,"PHI","SI","Sinker",0.3,2,"695",28.6,"192","0.31","0.402","0.345",7.4,18.2,21.1,"0.269","0.383","0.319",44.3
"Strider, Spencer",675911,"ATL","SL","Slider",-0.4,-3,"744",35.3,"192","0.225","0.428","0.314",48.3,38.5,28,"0.209","0.366","0.285",48
"Corbin, Patrick",571578,"TEX","SL","Slider",-0.9,-8,"866",33.5,"190","0.264","0.445","0.315",39.3,25.8,16.6,"0.254","0.416","0.299",37
"Priester, Quinn",682990,"MIL","SL","Slider",0.2,1,"671",27.2,"189","0.216","0.42","0.304",35,22.8,17.2,"0.206","0.349","0.266",35.1
"Morejon, Adrian",670970,"SD","SI","Sinker",2.5,16,"616",61.7,"188","0.218","0.241","0.247",15.4,18.6,23.2,"0.238","0.301","0.27",31.7
"Gusto, Ryan",687473,"MIA","FF","4-Seam Fastball",0.3,2,"769",43.7,"187","0.217","0.385","0.322",27.6,28.3,19.7,"0.21","0.388","0.31",48.2
"Hicks, Jordan",663855,"BOS","SI","Sinker",-0.4,-3,"653",54.5,"186","0.297","0.418","0.376",9.1,12.4,18.4,"0.284","0.386","0.344",47.8
"Wacha, Michael",608379,"KC","FF","4-Seam Fastball",0.2,2,"772",29,"186","0.275","0.395","0.334",16.9,21,17.9,"0.272","0.45","0.344",42.6
"Williams, Trevor",592866,"WSH","FF","4-Seam Fastball",-1.2,-7,"617",42.6,"186","0.345","0.556","0.41",15,17.2,16.4,"0.291","0.456","0.348",46.5
"Bibee, Tanner",676440,"CLE","FF","4-Seam Fastball",-0.2,-2,"812",27.3,"185","0.3","0.5","0.374",13.2,12.4,11.4,"0.313","0.552","0.393",47.3
"Verlander, Justin",434378,"SF","SL","Slider",-0.5,-3,"613",23.5,"184","0.262","0.424","0.326",31.5,28.3,19,"0.222","0.359","0.273",35.5
"Freeland, Kyle",607536,"COL","CU","Curveball",0.8,5,"648",26.1,"184","0.183","0.237","0.232",37.1,31,20.3,"0.201","0.282","0.244",44.2
"Gilbert, Logan",669302,"SEA","FF","4-Seam Fastball",1.3,10,"782",36.3,"183","0.227","0.374","0.305",20.6,15.8,18.5,"0.254","0.423","0.327",49.3
"Ray, Robbie",592662,"SF","SL","Slider",0.6,4,"692",22.5,"182","0.206","0.382","0.281",29.1,24.2,19.1,"0.223","0.379","0.282",51.2
"Gore, MacKenzie",669022,"WSH","CU","Curveball",0.1,1,"675",24,"181","0.217","0.312","0.287",35.7,38.1,22.5,"0.218","0.373","0.307",45.6
"Fedde, Erick",607200,"MIL","FC","Cutter",-1.3,-9,"664",28,"180","0.315","0.57","0.4",20.8,14.4,14.9,"0.278","0.512","0.356",42.3
"Paddack, Chris",663978,"DET","CH","Changeup",-1.3,-8,"602",23.5,"180","0.263","0.491","0.346",25.4,16.7,13.7,"0.275","0.497","0.356",46.8
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",1.8,11,"602",31.4,"180","0.196","0.298","0.241",36.1,31.1,26.5,"0.227","0.345","0.271",40.7
"Johnson, Pierce",572955,"ATL","CU","Curveball",0.3,2,"698",72.1,"179","0.238","0.417","0.293",27.4,24,19.3,"0.239","0.423","0.3",46.1
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",0.7,5,"684",38.1,"178","0.241","0.37","0.312",27.2,25.3,24.1,"0.233","0.367","0.296",35.9
"Mize, Casey",663554,"DET","FS","Split-Finger",-1.9,-11,"569",24.2,"178","0.297","0.494","0.371",33.2,28.7,22,"0.26","0.429","0.307",41.3
"Jansen, Kenley",445276,"LAA","FC","Cutter",1.8,13,"709",81.6,"177","0.163","0.3","0.253",25.2,21.5,22.6,"0.225","0.463","0.323",46.8
"Sugano, Tomoyuki",608372,"BAL","FS","Split-Finger",0.3,2,"602",23.5,"177","0.218","0.324","0.258",28.4,28.2,21.7,"0.256","0.416","0.303",27.5
"Crochet, Garrett",676979,"BOS","ST","Sweeper",3,15,"502",15.9,"177","0.126","0.207","0.152",40.8,50.3,29.7,"0.138","0.202","0.155",25.9
"Vasil, Mike",678024,"CWS","SI","Sinker",1.1,7,"657",39.9,"177","0.238","0.344","0.326",14.6,12.4,19.6,"0.257","0.395","0.341",34.9
"Estrada, Jeremiah",669093,"SD","FF","4-Seam Fastball",0.3,2,"702",56.8,"177","0.248","0.438","0.337",29.1,31.1,23.9,"0.217","0.396","0.307",44.7
"Flaherty, Jack",656427,"DET","CU","Curveball",-0.3,-2,"718",25.4,"177","0.205","0.38","0.281",42.3,40.7,24.2,"0.184","0.311","0.241",35.1
"Severino, Luis",622663,"ATH","ST","Sweeper",0,0,"678",24.8,"176","0.186","0.321","0.271",22.6,27.8,18.1,"0.217","0.37","0.3",35.8
"Hanifee, Brenan",669724,"DET","SI","Sinker",-0.1,-1,"598",63.2,"175","0.276","0.417","0.355",10.9,11.4,16.9,"0.291","0.451","0.34",45.1
"Mejia, Juan",675848,"COL","FF","4-Seam Fastball",0.6,5,"722",67.2,"175","0.219","0.322","0.315",28.6,22.9,20.1,"0.193","0.272","0.281",32.4
"Povich, Cade",700249,"BAL","FF","4-Seam Fastball",0.2,2,"713",36.2,"175","0.261","0.438","0.347",19.3,22.9,22.3,"0.297","0.609","0.421",52.2
"Rasmussen, Drew",656876,"TB","FC","Cutter",1.9,14,"729",31.5,"174","0.174","0.317","0.239",26.8,19,14.9,"0.229","0.371","0.283",42.3
"Francis, Bowden",670102,"TOR","FF","4-Seam Fastball",-0.6,-4,"639",56,"174","0.282","0.5","0.364",15.1,14.4,14,"0.29","0.484","0.364",54.5
"Brown, Hunter",686613,"HOU","SI","Sinker",0.9,6,"656",22.1,"174","0.265","0.377","0.335",18.7,12.6,19,"0.26","0.348","0.316",20.6
"King, Bryan",687911,"HOU","FF","4-Seam Fastball",0.4,3,"655",62.6,"174","0.23","0.4","0.303",24.1,25.3,22,"0.236","0.403","0.294",34.4
"Senga, Kodai",673540,"NYM","FS","Split-Finger",1.5,8,"542",28.5,"173","0.13","0.188","0.211",41.8,41,24.9,"0.144","0.213","0.214",21.7
"Matz, Steven",571927,"BOS","SI","Sinker",1.2,8,"677",58.4,"173","0.264","0.393","0.312",16.4,19.1,18,"0.256","0.412","0.307",44.3
"Taillon, Jameson",592791,"CHC","FF","4-Seam Fastball",0.3,2,"762",38.5,"173","0.225","0.469","0.32",17.5,16.2,12.7,"0.289","0.537","0.377",52.2
"Cantillo, Joey",676282,"CLE","FF","4-Seam Fastball",-0.5,-3,"687",42,"173","0.238","0.463","0.367",14.9,20.2,21.9,"0.288","0.531","0.4",57.1
"Alcantara, Sandy",645261,"MIA","CH","Changeup",0.1,1,"670",23.2,"173","0.223","0.318","0.279",28,19.1,14.9,"0.234","0.321","0.281",29.6
"Hancock, Emerson",676106,"SEA","SI","Sinker",-0.2,-1,"557",39.1,"172","0.295","0.436","0.369",9.8,7.6,13.3,"0.322","0.469","0.386",47.4
"Severino, Luis",622663,"ATH","FF","4-Seam Fastball",-0.1,-1,"755",27.6,"172","0.275","0.425","0.323",22.6,23.3,16.5,"0.296","0.497","0.36",55.3
"Martin, Davis",663436,"CWS","CH","Changeup",0.1,0,"559",24.2,"172","0.23","0.321","0.29",18.2,15.7,14.3,"0.322","0.439","0.343",53.6
"Gordon, Tanner",685299,"COL","FF","4-Seam Fastball",-0.9,-6,"657",52.8,"171","0.297","0.516","0.386",14.1,22.2,20.4,"0.3","0.554","0.389",52.5
"Alcantara, Sandy",645261,"MIA","FF","4-Seam Fastball",-0.6,-4,"610",21.1,"171","0.25","0.459","0.346",17.5,26.3,16.1,"0.255","0.468","0.353",62.3
"Weaver, Luke",596133,"NYY","FF","4-Seam Fastball",0.5,3,"628",59.9,"170","0.217","0.421","0.31",24.3,25.9,23.9,"0.208","0.394","0.294",45.9
"Flaherty, Jack",656427,"DET","SL","Slider",0.1,1,"669",23.6,"170","0.23","0.349","0.306",29.5,24.7,19.7,"0.242","0.386","0.311",45
"Gilbert, Logan",669302,"SEA","SL","Slider",-0.2,-1,"760",35.3,"170","0.255","0.51","0.354",34.5,22.9,19.8,"0.258","0.5","0.346",37
"Junk, Janson",676083,"MIA","FF","4-Seam Fastball",0.1,1,"611",37.7,"170","0.28","0.452","0.334",14.6,17.6,14.7,"0.284","0.464","0.337",53.4
"Lodolo, Nick",666157,"CIN","CU","Curveball",0.2,1,"711",28.7,"170","0.195","0.325","0.262",40.3,38.2,22.3,"0.145","0.268","0.219",33
"Peterson, David",656849,"NYM","SL","Slider",0.1,0,"516",19.1,"169","0.228","0.37","0.284",38,40.2,28.7,"0.234","0.4","0.287",51.1
"Latz, Jacob",656641,"TEX","FF","4-Seam Fastball",1.6,11,"685",49.4,"169","0.193","0.327","0.272",23.8,21.9,16.1,"0.259","0.457","0.344",52.6
"Roupp, Landen",694738,"SF","CU","Curveball",0.1,1,"660",35.7,"168","0.197","0.354","0.291",35.8,29.2,23.7,"0.19","0.324","0.275",19.8
"Corbin, Patrick",571578,"TEX","FC","Cutter",0.9,6,"652",25.2,"168","0.257","0.439","0.343",23.3,15.5,18.8,"0.271","0.434","0.351",36.6
"Pagán, Emilio",641941,"CIN","FF","4-Seam Fastball",1.3,9,"654",61.2,"167","0.171","0.336","0.272",24.6,25.7,21.1,"0.177","0.381","0.29",43.8
"Cabrera, Edward",665795,"MIA","CH","Changeup",0.8,5,"580",25.8,"166","0.203","0.266","0.249",27.3,28.9,23,"0.246","0.321","0.271",44.5
"Warren, Will",701542,"NYY","SI","Sinker",0.9,5,"588",21,"166","0.263","0.368","0.323",13.6,19.3,29.6,"0.27","0.397","0.319",52.9
"Márquez, Germán",608566,"COL","CU","Curveball",-1,-6,"656",31.5,"166","0.21","0.427","0.323",36.7,33.7,20.4,"0.225","0.398","0.287",44.6
"Gray, Sonny",543243,"STL","SI","Sinker",0.1,1,"473",17.4,"166","0.281","0.484","0.359",14.5,27.1,29,"0.251","0.416","0.314",43.1
"Spence, Mitch",687765,"ATH","FC","Cutter",-0.8,-5,"612",45.2,"166","0.318","0.534","0.416",19.7,12,15.2,"0.318","0.557","0.402",48.5
"Liberatore, Matthew",669461,"STL","SL","Slider",0.4,2,"503",21.1,"166","0.252","0.348","0.289",32,30.7,22.2,"0.256","0.406","0.307",36.8
"Berríos, José",621244,"TOR","SV","Slurve",-0.8,-5,"671",26,"165","0.232","0.411","0.323",33.3,27.3,20.3,"0.247","0.428","0.322",34.9
"Keller, Mitch",656605,"PIT","ST","Sweeper",0.6,3,"548",19.1,"165","0.219","0.369","0.27",27,29.7,20.2,"0.224","0.432","0.288",45.9
"Okert, Steven",595345,"HOU","SL","Slider",2.4,14,"608",57.8,"165","0.147","0.263","0.188",40.7,38.8,30.9,"0.162","0.283","0.205",29.2
"Harris, Hogan",663687,"ATH","FF","4-Seam Fastball",-0.2,-1,"635",56.4,"165","0.277","0.394","0.355",22.5,23,18.4,"0.276","0.396","0.349",39.2
"Ashcraft, Graham",668933,"CIN","FC","Cutter",-1.3,-8,"562",54.1,"164","0.328","0.438","0.401",18.2,10.4,15.3,"0.32","0.453","0.386",34.7
"Kremer, Dean",665152,"BAL","FF","4-Seam Fastball",-0.3,-2,"724",26.9,"164","0.276","0.483","0.36",16.2,14.6,11.9,"0.276","0.503","0.366",51.2
"Walker, Ryan",676254,"SF","SI","Sinker",0.8,5,"636",62.5,"164","0.282","0.349","0.317",17.1,22.6,21.6,"0.269","0.358","0.308",40.7
"Allen, Logan",671106,"CLE","ST","Sweeper",-1,-6,"631",23.3,"163","0.21","0.371","0.309",26.8,28.8,20,"0.192","0.364","0.287",31.6
"Lodolo, Nick",666157,"CIN","FF","4-Seam Fastball",-1.3,-10,"722",29.1,"163","0.248","0.516","0.338",23.1,28.8,20.3,"0.245","0.488","0.321",45
"Mlodzinski, Carmen",669387,"PIT","FF","4-Seam Fastball",0.1,0,"602",36.6,"163","0.246","0.413","0.341",17.7,17.8,16,"0.247","0.412","0.34",44.1
"Soroka, Michael",647336,"CHC","FF","4-Seam Fastball",-0.4,-3,"690",45.2,"162","0.273","0.524","0.385",20.4,20.4,18,"0.257","0.47","0.354",47.3
"Abreu, Bryan",650556,"HOU","SL","Slider",1.8,10,"576",48.4,"162","0.193","0.29","0.276",46.1,37.7,34.1,"0.22","0.345","0.286",42.4
"Pivetta, Nick",601713,"SD","CU","Curveball",0.8,5,"638",22.4,"161","0.216","0.353","0.275",16.2,21.1,16.4,"0.292","0.521","0.359",43.3
"Gordon, Colton",676467,"HOU","FF","4-Seam Fastball",-1.7,-10,"606",41.8,"161","0.297","0.648","0.41",16,19.9,17.6,"0.306","0.582","0.393",48.7
"Mikolas, Miles",571945,"STL","FF","4-Seam Fastball",-0.8,-6,"700",28.2,"161","0.307","0.627","0.413",17.9,12.4,10.1,"0.3","0.676","0.428",50.8
"Scherzer, Max",453286,"TOR","FF","4-Seam Fastball",0.5,4,"674",48.5,"160","0.248","0.49","0.343",18.9,19.4,20.4,"0.257","0.569","0.375",42.6
"Schlittler, Cam",693645,"NYY","FF","4-Seam Fastball",1.3,9,"686",54.7,"160","0.178","0.281","0.278",27.8,31.3,22.5,"0.212","0.366","0.316",47.1
"Kremer, Dean",665152,"BAL","FS","Split-Finger",0.8,4,"566",21,"159","0.201","0.305","0.234",39.4,32.1,20.6,"0.185","0.281","0.215",23.3
"Martinez, Nick",607259,"CIN","FC","Cutter",0.4,2,"546",21.2,"159","0.261","0.47","0.359",19.2,13.2,18.9,"0.304","0.481","0.382",34.2
"Rasmussen, Drew",656876,"TB","SI","Sinker",0.8,4,"527",22.8,"158","0.226","0.315","0.288",13.2,19.6,17.7,"0.262","0.381","0.308",40
"Manaea, Sean",640455,"NYM","FF","4-Seam Fastball",0.5,3,"658",60.1,"158","0.264","0.446","0.332",23.3,27.2,18.9,"0.256","0.433","0.316",43.4
"Hurter, Brant",676428,"DET","SI","Sinker",0.6,3,"553",52.6,"158","0.279","0.357","0.359",13.8,13.9,19.5,"0.279","0.408","0.361",42.7
"Burrows, Mike",681347,"PIT","FF","4-Seam Fastball",-1,-6,"603",39.2,"158","0.326","0.529","0.391",16.8,12.7,15.5,"0.309","0.551","0.397",49.2
"Kirby, George",669923,"SEA","SI","Sinker",-0.7,-4,"556",26.7,"158","0.309","0.518","0.388",11.2,17.1,21.8,"0.298","0.471","0.365",43.5
"Williams, Gavin",668909,"CLE","CU","Curveball",1,6,"648",22.2,"157","0.115","0.18","0.2",34.5,36.9,18.9,"0.171","0.255","0.238",32.9
"Martin, Davis",663436,"CWS","FF","4-Seam Fastball",0.2,1,"755",32.7,"157","0.228","0.397","0.321",21.5,21.7,14.9,"0.249","0.469","0.348",41.3
"Suarez, Robert",663158,"SD","FF","4-Seam Fastball",2.1,14,"650",60.4,"157","0.169","0.261","0.227",24,30.6,23,"0.238","0.441","0.322",49
"Pomeranz, Drew",519141,"CHC","FF","4-Seam Fastball",1.6,10,"614",76.8,"157","0.207","0.286","0.266",24.1,24.8,22.5,"0.245","0.403","0.319",42.7
"Allen, Logan",671106,"CLE","CH","Changeup",-1.1,-6,"498",18.4,"156","0.283","0.408","0.313",18.2,13.5,10.7,"0.281","0.447","0.319",37.1
"Leasure, Jordan",673929,"CWS","FF","4-Seam Fastball",-1,-6,"619",54.8,"156","0.222","0.474","0.347",25.4,29.5,22.2,"0.207","0.407","0.314",44.4
"Doval, Camilo",666808,"NYY","SL","Slider",1,5,"529",47.9,"156","0.2","0.279","0.264",41.1,37.8,28.2,"0.195","0.279","0.254",35.8
"Pfaadt, Brandon",694297,"AZ","FF","4-Seam Fastball",-0.3,-2,"683",23.4,"155","0.263","0.453","0.339",20.6,19.4,14.5,"0.334","0.688","0.446",54.5
"Mikolas, Miles",571945,"STL","SL","Slider",-0.2,-1,"580",23.4,"155","0.25","0.472","0.329",17.8,11,13.9,"0.297","0.546","0.375",38.5
"Luzardo, Jesús",666200,"PHI","CH","Changeup",1.2,6,"521",17.3,"155","0.224","0.315","0.278",36.2,20.6,19,"0.244","0.355","0.293",27
"Rodón, Carlos",607074,"NYY","CH","Changeup",1.2,6,"519",16.2,"155","0.197","0.286","0.233",35,22.6,18.1,"0.231","0.338","0.266",36.8
"Littell, Zack",641793,"CIN","FF","4-Seam Fastball",0.4,3,"663",23.8,"155","0.201","0.438","0.29",22.5,27.1,21.4,"0.235","0.49","0.329",47.6
"Gray, Sonny",543243,"STL","FF","4-Seam Fastball",-0.6,-4,"606",22.3,"154","0.37","0.585","0.442",19.1,4.5,10.8,"0.367","0.591","0.441",41.1
"Dreyer, Jack",676263,"LAD","SL","Slider",1.9,10,"529",46.2,"154","0.193","0.269","0.224",30.1,27.9,22.4,"0.192","0.284","0.225",39
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",1.2,7,"604",29,"154","0.188","0.319","0.267",30.7,33.1,23.4,"0.224","0.382","0.303",41.4
"Skubal, Tarik",669373,"DET","SI","Sinker",1.4,9,"675",23.7,"154","0.284","0.453","0.329",18.4,20.1,28.2,"0.279","0.453","0.325",37.3
"Miller, Bryce",682243,"SEA","FF","4-Seam Fastball",-1.2,-8,"631",40.9,"154","0.237","0.556","0.368",23,18.2,15.7,"0.257","0.527","0.368",45.5
"Abbott, Andrew",671096,"CIN","CH","Changeup",0.7,3,"526",19.6,"154","0.215","0.349","0.274",25.2,16.9,16.1,"0.269","0.449","0.319",22.8
"Lodolo, Nick",666157,"CIN","CH","Changeup",1.3,7,"539",21.8,"154","0.201","0.326","0.269",27.5,12.3,15.8,"0.264","0.42","0.313",33.1
"Rogers, Trevor",669432,"BAL","FF","4-Seam Fastball",2.4,16,"662",40.7,"153","0.158","0.252","0.222",24.2,29.4,23.4,"0.205","0.378","0.28",47.9
"Civale, Aaron",650644,"CHC","FC","Cutter",-0.3,-2,"611",35,"153","0.252","0.467","0.358",24.9,21.6,18.9,"0.247","0.454","0.34",40.8
"Lopez, Jacob",682052,"ATH","SL","Slider",1.1,6,"509",30.6,"153","0.201","0.324","0.272",32.7,30.7,21.8,"0.2","0.31","0.259",28
"Uribe, Abner",682842,"MIL","SI","Sinker",1.7,10,"592",50.9,"153","0.244","0.281","0.291",20.2,15,21.5,"0.274","0.372","0.325",42.1
"Burke, Sean",680732,"CWS","SL","Slider",-1.3,-7,"520",21.9,"153","0.264","0.543","0.381",26.4,14.4,16.3,"0.301","0.584","0.393",43.3
"Lodolo, Nick",666157,"CIN","SI","Sinker",1.3,7,"506",20.4,"153","0.294","0.375","0.335",15.3,15.7,17.4,"0.294","0.428","0.351",50.4
"Giolito, Lucas",608337,"BOS","SL","Slider",0.2,1,"606",25.6,"152","0.234","0.333","0.276",32.1,25.7,20.2,"0.257","0.424","0.315",35.6
"Morton, Charlie",450203,"ATL","FF","4-Seam Fastball",-1.9,-14,"704",27.6,"150","0.266","0.532","0.388",21.3,22,13.6,"0.228","0.446","0.344",48.9
